:START_ID,DATA,:END_ID,:TYPE
MO_100001_104,NONE,VMR_2_152276,MAP
MO_100001_105,NONE,MO_1_8316,MAP
MO_100001_105,NONE,VMR_2_152277,MAP
MO_100001_106,NONE,MO_1_8317,MAP
MO_100001_106,NONE,VMR_2_152278,MAP
MO_100001_107,NONE,MO_1_8318,MAP
MO_100001_107,NONE,VMR_2_152279,MAP
MO_100001_108,NONE,MO_1_8319,MAP
MO_100001_108,NONE,VMR_2_152280,MAP
MO_100001_109,NONE,MO_1_8320,MAP
MO_100001_109,NONE,VMR_2_152281,MAP
MO_100001_110,NONE,MO_1_8321,MAP
MO_100001_110,NONE,VMR_2_152282,MAP
MO_100001_111,NONE,MO_1_8322,MAP
MO_100001_111,NONE,VMR_2_152283,MAP
MO_100001_112,NONE,MO_1_8323,MAP
MO_100001_112,NONE,VMR_2_152284,MAP
MO_100001_113,NONE,MO_1_8324,MAP
MO_100001_113,NONE,VMR_2_152285,MAP
MO_100001_114,NONE,MO_1_11308,MAP
MO_100001_114,NONE,VMR_2_152657,MAP
MO_100001_115,NONE,MO_1_11392,MAP
MO_100001_115,NONE,VMR_2_152741,MAP
MO_100001_116,NONE,MO_1_11393,MAP
MO_100001_116,NONE,VMR_2_152742,MAP
MO_100001_117,NONE,MO_1_11394,MAP
MO_100001_117,NONE,VMR_2_152743,MAP
MO_100001_118,NONE,MO_1_11395,MAP
MO_100001_118,NONE,VMR_2_152744,MAP
MO_100001_119,NONE,MO_1_11396,MAP
MO_100001_119,NONE,VMR_2_152745,MAP
MO_100001_120,NONE,MO_1_11397,MAP
MO_100001_120,NONE,VMR_2_152746,MAP
MO_100001_121,NONE,MO_1_11398,MAP
MO_100001_121,NONE,VMR_2_152747,MAP
MO_100001_122,NONE,MO_1_11399,MAP
MO_100001_122,NONE,VMR_2_152748,MAP
MO_100001_123,NONE,MO_1_11400,MAP
MO_100001_123,NONE,VMR_2_152749,MAP
MO_100001_124,NONE,MO_1_11401,MAP
MO_100001_124,NONE,VMR_2_152750,MAP
MO_100001_125,NONE,MO_1_11402,MAP
MO_100001_125,NONE,VMR_2_152751,MAP
MO_100001_126,NONE,MO_1_11403,MAP
MO_100001_126,NONE,VMR_2_152752,MAP
MO_100001_127,NONE,MO_1_11404,MAP
MO_100001_127,NONE,VMR_2_152753,MAP
MO_100001_128,NONE,MO_1_11425,MAP
MO_100001_128,NONE,VMR_2_152774,MAP
