NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
RESOURCE,BLOCK_a_171,BLOCK,,,,
RESOURCE,BLOCK_a_172,BLOCK,,,,
RESOURCE,BLOCK_a_173,BLOCK,,,,
RESOURCE,BLOCK_a_174,BLOCK,,,,
RESOURCE,BLOCK_a_175,BLOCK,,,,
RESOURCE,BLOCK_a_176,BLOCK,,,,
RESOURCE,BLOCK_a_177,BLOCK,,,,
RESOURCE,BLOCK_a_178,BLOCK,,,,
RESOURCE,BLOCK_a_179,BLOCK,,,,
RESOURCE,BLOCK_a_17a,BLOCK,,,,
RESOURCE,BLOCK_a_17b,BLOCK,,,,
RESOURCE,BLOCK_a_17c,BLOCK,,,,
RESOURCE,BLOCK_a_17d,BLOCK,,,,
