NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_81,MO_1_7942,
,,NONE,MAP,MO_100001_81,VMR_2_151903,
,,NONE,MAP,MO_100001_82,MO_1_7943,
,,NONE,MAP,MO_100001_82,VMR_2_151904,
,,NONE,MAP,MO_100001_83,MO_1_7944,
,,NONE,MAP,MO_100001_83,VMR_2_151905,
,,NONE,MAP,MO_100001_84,MO_1_8043,
,,NONE,MAP,MO_100001_84,VMR_2_152004,
,,NONE,MAP,MO_100001_85,MO_1_8265,
,,NONE,MAP,MO_100001_85,VMR_2_152226,
,,NONE,MAP,MO_100001_86,MO_1_8266,
,,NONE,MAP,MO_100001_86,VMR_2_152227,
,,NONE,MAP,MO_100001_87,MO_1_8267,
,,NONE,MAP,MO_100001_87,VMR_2_152228,
,,NONE,MAP,MO_100001_88,MO_1_8268,
,,NONE,MAP,MO_100001_88,VMR_2_152229,
,,NONE,MAP,MO_100001_89,MO_1_8269,
,,NONE,MAP,MO_100001_89,VMR_2_152230,
,,NONE,MAP,MO_100001_90,MO_1_8270,
,,NONE,MAP,MO_100001_90,VMR_2_152231,
,,NONE,MAP,MO_100001_91,MO_1_8271,
,,NONE,MAP,MO_100001_91,VMR_2_152232,
,,NONE,MAP,MO_100001_92,MO_1_8272,
,,NONE,MAP,MO_100001_92,VMR_2_152233,
,,NONE,MAP,MO_100001_93,MO_1_8273,
,,NONE,MAP,MO_100001_93,VMR_2_152234,
,,NONE,MAP,MO_100001_94,MO_1_8296,
,,NONE,MAP,MO_100001_94,VMR_2_152257,
,,NONE,MAP,MO_100001_95,MO_1_8306,
,,NONE,MAP,MO_100001_95,VMR_2_152267,
,,NONE,MAP,MO_100001_96,MO_1_8307,
,,NONE,MAP,MO_100001_96,VMR_2_152268,
,,NONE,MAP,MO_100001_97,MO_1_8308,
,,NONE,MAP,MO_100001_97,VMR_2_152269,
,,NONE,MAP,MO_100001_98,MO_1_8309,
,,NONE,MAP,MO_100001_98,VMR_2_152270,
,,NONE,MAP,MO_100001_99,MO_1_8310,
,,NONE,MAP,MO_100001_99,VMR_2_152271,
,,NONE,MAP,MO_100001_100,MO_1_8311,
,,NONE,MAP,MO_100001_100,VMR_2_152272,
,,NONE,MAP,MO_100001_101,MO_1_8312,
,,NONE,MAP,MO_100001_101,VMR_2_152273,
,,NONE,MAP,MO_100001_102,MO_1_8313,
,,NONE,MAP,MO_100001_102,VMR_2_152274,
,,NONE,MAP,MO_100001_103,MO_1_8314,
,,NONE,MAP,MO_100001_103,VMR_2_152275,
,,NONE,MAP,MO_100001_104,MO_1_8315,
,,NONE,MAP,MO_100001_104,VMR_2_152276,
,,NONE,MAP,MO_100001_105,MO_1_8316,
,,NONE,MAP,MO_100001_105,VMR_2_152277,
,,NONE,MAP,MO_100001_106,MO_1_8317,
,,NONE,MAP,MO_100001_106,VMR_2_152278,
,,NONE,MAP,MO_100001_107,MO_1_8318,
,,NONE,MAP,MO_100001_107,VMR_2_152279,
,,NONE,MAP,MO_100001_108,MO_1_8319,
,,NONE,MAP,MO_100001_108,VMR_2_152280,
,,NONE,MAP,MO_100001_109,MO_1_8320,
,,NONE,MAP,MO_100001_109,VMR_2_152281,
,,NONE,MAP,MO_100001_110,MO_1_8321,
,,NONE,MAP,MO_100001_110,VMR_2_152282,
,,NONE,MAP,MO_100001_111,MO_1_8322,
,,NONE,MAP,MO_100001_111,VMR_2_152283,
,,NONE,MAP,MO_100001_112,MO_1_8323,
,,NONE,MAP,MO_100001_112,VMR_2_152284,
,,NONE,MAP,MO_100001_113,MO_1_8324,
,,NONE,MAP,MO_100001_113,VMR_2_152285,
