NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,RXP,HOLD,PD_100002,VMR_100002_142,
,,RXP,HOLD,PD_100002,VMR_100002_143,
,,RXP,HOLD,PD_100002,VMR_100002_144,
,,RXP,HOLD,PD_100002,VMR_100002_145,
,,RXP,HOLD,PD_100002,VMR_100002_146,
,,RXP,HOLD,PD_100002,VMR_100002_147,
,,RXP,HOLD,PD_100002,VMR_100002_148,
,,RXP,HOLD,PD_100002,VMR_100002_149,
,,RXP,HOLD,PD_100002,VMR_100002_150,
,,RXP,HOLD,PD_100002,VMR_100002_151,
,,RXP,HOLD,PD_100002,VMR_100002_152,
,,RXP,HOLD,PD_100002,VMR_100002_153,
,,RXP,HOLD,PD_100002,VMR_100002_154,
,,RXP,HOLD,PD_100002,VMR_100002_155,
,,RXP,HOLD,PD_100002,VMR_100002_156,
,,RXP,HOLD,PD_100002,VMR_100002_157,
,,RXP,HOLD,PD_100002,VMR_100002_158,
,,RXP,HOLD,PD_100002,VMR_100002_159,
,,RXP,HOLD,PD_100002,VMR_100002_160,
,,RXP,HOLD,PD_100002,VMR_100002_161,
,,RXP,HOLD,PD_100002,VMR_100002_162,
,,RXP,HOLD,PD_100002,VMR_100002_163,
,,RXP,HOLD,PD_100002,VMR_100002_164,
,,RXP,HOLD,PD_100002,VMR_100002_165,
,,RXP,HOLD,PD_100002,VMR_100002_166,
,,RXP,HOLD,PD_100002,VMR_100002_167,
,,RXP,HOLD,PD_100002,VMR_100002_168,
,,RXP,HOLD,PD_100002,VMR_100002_169,
,,RXP,HOLD,PD_100002,VMR_100002_170,
,,RXP,HOLD,PD_100002,VMR_100002_171,
,,RXP,HOLD,PD_100002,VMR_100002_172,
,,RXP,HOLD,PD_100002,VMR_100002_173,
,,RXP,HOLD,PD_100002,VMR_100002_174,
,,RXP,HOLD,PD_100002,VMR_100002_175,
,,RXP,HOLD,PD_100002,VMR_100002_176,
,,RXP,HOLD,PD_100002,VMR_100002_177,
,,RXP,HOLD,PD_100002,VMR_100002_178,
,,RXP,HOLD,PD_100002,VMR_100002_179,
,,RXP,HOLD,PD_100002,VMR_100002_180,
,,RXP,HOLD,PD_100002,VMR_100002_181,
,,RXP,HOLD,PD_100002,VMR_100002_182,
,,RXP,HOLD,PD_100002,VMR_100002_183,
,,RXP,HOLD,PD_100002,VMR_100002_184,
,,RXP,HOLD,PD_100002,VMR_100002_185,
,,RXP,HOLD,PD_100002,VMR_100002_186,
,,RXP,HOLD,PD_100002,VMR_100002_187,
,,RXP,HOLD,PD_100002,VMR_100002_188,
,,RXP,HOLD,PD_100002,VMR_100002_189,
,,RXP,HOLD,PD_100002,VMR_100002_190,
,,RXP,HOLD,PD_100002,VMR_100002_191,
,,RXP,HOLD,PD_100002,VMR_100002_192,
,,RXP,HOLD,PD_100002,VMR_100002_193,
,,RXP,HOLD,PD_100002,VMR_100002_194,
